clade	species	ts	te
0	1496	13	1
0	1497	36	2
0	1498	24	2
0	1499	24	2
0	1500	8	1
0	1501	6	4
0	1502	5	4
0	1503	10	8
0	1504	13	3
0	1505	24	17
0	1506	5	3
0	1507	5	2
0	1508	20	5
0	1509	10	7
0	1510	4	0
0	1511	5	0
0	1512	5	0
0	1513	4	3
0	1514	17	0
0	1515	35	18
0	1516	14	7
0	1517	10	1
0	1518	6	3
0	1519	2	1
0	1520	13	0
0	1521	19	8
0	1522	14	8
0	1523	17	0
0	1524	13	0
0	1525	6	2
0	1526	10	0
0	1527	6	1
0	1528	8	3
0	1529	7	0
0	1530	9	6
0	1531	6	2
0	1532	7	0
0	1533	12	2
0	1534	4	3
0	1535	3	1
0	1536	1	0
0	1537	18	0
0	1538	8	4
0	1539	12	9
0	1540	4	0
0	1541	3	1
0	1542	6	1
0	1543	20	1
0	1544	36	35
0	1545	9	5
0	1546	12	3
0	1547	10	1
0	1548	20	2
0	1549	20	1
0	1550	10	5
0	1551	6	1
0	1552	1	0
0	1553	4	1
0	1554	7	1
0	1555	5	2
0	1556	10	2
0	1557	22	17
0	1558	26	7
0	1559	14	0
0	1560	22	1
0	1561	5	2
0	1562	13	3
0	1563	26	9
0	1564	26	6
0	1565	17	3
0	1566	6	1
0	1567	19	0
0	1568	11	0
0	1569	6	1
0	1570	23	11
0	1571	7	0
0	1572	11	1
0	1573	6	2
0	1574	9	2
0	1575	10	0
0	1576	5	1
0	1577	5	2
0	1578	5	2
0	1579	6	2
0	1580	6	2
0	1581	10	0
0	1582	11	1
0	1583	6	5
0	1584	12	6
0	1585	8	0
0	1586	6	5
0	1587	5	3
0	1588	12	4
0	1589	1	0
0	1590	8	0
0	1591	6	3
0	1592	10	5
0	1593	8	2
0	1594	4	1
0	1595	6	1
0	1596	14	7
0	1597	5	0
0	1598	3	0
0	1599	5	2
0	1600	6	2
0	1601	3	1
0	1602	1	0
0	1603	9	2
0	1604	8	5
0	1605	8	7
0	1606	13	3
0	1607	8	3
0	1608	8	3
0	1609	8	3
0	1610	8	7
0	1611	8	7
0	1612	8	5
0	1613	8	3
0	1614	8	7
0	1615	8	7
0	1616	4	1
0	1617	16	1
0	1618	14	9
0	1619	11	5
0	1620	7	1
0	1621	5	1
0	1622	4	1
0	1623	7	2
0	1624	8	5
0	1625	11	5
0	1626	4	0
0	1627	13	12
0	1628	5	0
0	1629	2	0
0	1630	5	2
0	1631	2	1
0	1632	2	0
0	1633	18	5
0	1634	18	1
0	1635	12	5
0	1636	16	2
0	1637	8	4
0	1638	13	0
0	1639	12	5
0	1640	3	2
0	1641	9	2
0	1642	3	2
0	1643	10	1
0	1644	8	0
0	1645	12	1
0	1646	15	13
0	1647	10	0
0	1648	4	3
0	1649	23	17
0	1650	16	8
0	1651	7	1
0	1652	6	0
0	1653	4	1
0	1654	10	5
0	1655	4	2
0	1656	20	11
0	1657	2	0
0	1658	4	1
0	1659	5	2
